,author,source name,title,description,url,content,published
0,Chris Stokel-Walker,Wired,How Elon Musk Won Twitter,"His weeks-long pursuit of the company has resulted in a $44 billion deal. But how did it happen, and what the hell comes next?",https://www.wired.com/story/elon-musk-buys-twitter-deal/,"Such social media battles may be unusual when considering a takeover of a massive business, but Musk is himself unusual, says Cary Cooper, a business professor at Manchester Business School. Hes not … [+4004 chars]",2022-04-25T19:41:32Z
1,Gilad Edelman,Wired,Elon Musk Is Right About Twitter,It really is the closest thing we have to an online public square—and that's terrible for democracy. Let his takeover bid be a wakeup call.,https://www.wired.com/story/elon-musk-right-about-twitter/,"The saga of Elon Musk attempting to take over Twitter began, appropriately, on Twitter. In late March, Musk tweeted, Given that Twitter serves as the de facto public town square, failing to adhere to… [+3238 chars]",2022-04-14T21:17:51Z
2,Steve Dent,Engadget,Elon Musk now owns a 9.2 percent stake in Twitter,"Tesla and SpaceX CEO Elon Musk now owns 9.2 percent of Twitter after purchasing $2.89 billion in stock, according to a US Securities and Exchange Commission (SEC) filing spotted by CNBC. The purchase follows recent criticism by Musk over the social media site…",https://www.engadget.com/elon-musk-now-owns-92-percent-of-twitter-113623921.html,"Tesla and SpaceX CEO Elon Musk now owns 9.2 percent of Twitter after purchasing $2.89 billion in stock, according to a US Securities and Exchange Commission (SEC) filing spotted by CNBC. The purchase… [+1422 chars]",2022-04-04T11:36:23Z
3,Steve Dent,Engadget,Elon Musk offers to buy Twitter for $43 billion,"Elon Musk has offered to buy Twitter for $43 billion, telling the SEC in a filing that the deal would be good for free speech. ""I invested in Twitter as I believe in its potential to be the platform for free speech around the globe, and I believe free speech …",https://www.engadget.com/elon-musk-offers-to-buy-twitter-for-43-billion-104642696.html,"Elon Musk has offered to buy Twitter for $43 billion, telling the SEC in a filing that the deal would be good for free speech. ""I invested in Twitter as I believe in its potential to be the platform … [+1375 chars]",2022-04-14T10:46:42Z
4,Kris Holt,Engadget,Watch Elon Musk's TED talk live for free,"It's a busy time in the world of Elon Musk. On the same day it emerged he made a bid to buy Twitter, he's giving a TED Talk. The organizers of TED are opening up the conference's livestreaming channel to all, so anyone can watch the talk (which is underway) f…",https://www.engadget.com/elon-musk-ted-talk-how-to-watch-172254234.html,"It's a busy time in the world of Elon Musk. On the same day it emerged he made a bid to buy Twitter, he's giving a TED Talk. The organizers of TED are opening up the conference's livestreaming channe… [+534 chars]",2022-04-14T17:22:54Z
5,Karissa Bell,Engadget,Elon Musk is already at risk of violating a key provision of his deal with Twitter,"Elon Musk may have already broken a key provision of the deal he made with Twitter. One day after Twitter disclosed the terms of its deal with Musk, the Tesla CEO is already raising questions about his willingness to adhere to a non-disparagement clause.Accor…",https://www.engadget.com/elon-musk-disparage-twitter-employees-224616582.html,"Elon Musk may have already broken a key provision of the deal he made with Twitter. One day after Twitter disclosed the terms of its deal with Musk, the Tesla CEO is already raising questions about h… [+2997 chars]",2022-04-27T22:46:16Z
6,Lily Hay Newman,Wired,Elon Musk's Twitter Buy Exposes a Privacy Minefield,The social network's user data and more will soon be at the whims of the world's richest man. Who's worried?,https://www.wired.com/story/elon-musk-twitter-privacy-anonymity/,"Elon Musk Secured an agreement on Monday to buy Twitter for about $44 billion and take the company private. In his initial comments about the move, Musk discussed a range of goals from making the alg… [+3497 chars]",2022-04-26T19:54:55Z
7,"Michael Barbaro, Rob Szypko, Rachelle Bonja, Michael Simon Johnson, Paige Cowett, Marc Georges and Chris Wood",New York Times,Twitter’s Elon Musk Problem,The billionaire’s investment in the social media giant has plunged the platform into a debate about its future.,https://www.nytimes.com/2022/04/14/podcasts/the-daily/twitter-elon-musk.html,"Mike Isaac contributed reporting.
The Daily is made by Lisa Tobin, Rachel Quester, Lynsea Garrison, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Larissa Anderson, Chris Woo… [+745 chars]",2022-04-14T10:00:08Z
8,Mariella Moon,Engadget,"Tesla's Cybertruck will go on sale in 2023, says Elon Musk","Tesla will finally start selling the Cybertruck next year, Elon Musk has announced at the opening party for the company's Giga Texas factory. During his presentation on stage, Musk showed off the production Cybertruck vehicle, which still looks like the previ…",https://www.engadget.com/tesla-cybertruck-2023-elon-musk-071706850.html,"Tesla will finally start selling the Cybertruck next year, Elon Musk has announced at the opening party for the company's Giga Texas factory. During his presentation on stage, Musk showed off the pro… [+1768 chars]",2022-04-08T07:17:06Z
9,Nilay Patel,The Verge,"Government surveillance, Elon Musk, and free speech, with EFF executive director Cindy Cohn","On the frontier of fighting the NSA, combatting censorship, and holding platforms like Apple, Meta, and Google accountable. Plus, the Elon Musk and Twitter saga.",https://www.theverge.com/23041249/elon-musk-free-speech-decoder-interview-podcast-cindy-cohn,"Photo Illustration by Grayson Blackmon / The Verge

 


 On the frontier of fighting the NSA Cindy Cohn is the executive director of the Electronic Frontier Foundation, or EFF. If you’re an internet… [+43790 chars]",2022-04-26T14:15:00Z
